Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2019,Fall,C,81307,ARTS,1020,1,T,4,DIGITAL IMAGING,T,10:00 am-11:50 am,10,9,1,0,0,0,19,19,0,"Nathan Scott Meltz (P), Silvia Ruzanka",08/29-12/20,SAGE 3704,
2019,Fall,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,"Nathan Scott Meltz (P), Silvia Ruzanka",08/29-12/20,WEST 211,
2019,Fall,C,81308,ARTS,1020,2,T,4,DIGITAL IMAGING,T,10:00 am-11:50 am,9,10,-1,0,0,0,19,19,0,"Nathan Scott Meltz (P), Silvia Ruzanka",08/29-12/20,SAGE 3704,
2019,Fall,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,"Nathan Scott Meltz (P), Silvia Ruzanka",08/29-12/20,WEST 211,
2019,Fall,C,84100,ARTS,1020,3,T,4,DIGITAL IMAGING,T,10:00 am-11:50 am,10,10,0,0,0,0,19,18,1,"Silvia Ruzanka (P), Nathan Scott Meltz",08/29-12/20,SAGE 3704,
2019,Fall,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,"Silvia Ruzanka (P), Nathan Scott Meltz",08/29-12/20,WEST 214,
2019,Fall,NR,85245,ARTS,1020,4,T,4,DIGITAL IMAGING,T,10:00 am-11:50 am,9,8,1,0,0,0,19,18,1,"Silvia Ruzanka (P), Nathan Scott Meltz",08/29-12/20,SAGE 3704,
2019,Fall,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,"Silvia Ruzanka (P), Nathan Scott Meltz",08/29-12/20,WEST 214,
2019,Fall,C,85246,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,0,11,-11,0,0,0,19,17,2,Elizabeth Press (P),08/29-12/20,WEST 211,
2019,Fall,C,85247,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,5,6,-1,0,0,0,19,17,2,Elizabeth Press (P),08/29-12/20,WEST 211,
2019,Fall,C,84743,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,02:00 pm-03:50 pm,0,11,-11,0,0,0,19,16,3,Elizabeth Press (P),08/29-12/20,WEST 211,
2019,Fall,C,84744,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,02:00 pm-03:50 pm,5,5,0,0,0,0,19,16,3,Elizabeth Press (P),08/29-12/20,WEST 211,
2019,Fall,NR,85481,ARTS,1030,5,T,4,DIGITAL FILMMAKING,MR,04:00 pm-05:50 pm,19,16,3,0,0,0,0,0,0,Kathryn High (P),08/29-12/20,WEST 211,
2019,Fall,NR,84361,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,60,48,12,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/29-12/20,SAGE 4101,Communication Intensive
2019,Fall,C,81306,ARTS,1200,1,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,20,-1,4,0,4,0,0,0,Kenneth A. Ragsdale (P),08/29-12/20,WEST 411,
2019,Fall,C,81517,ARTS,1200,2,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,19,0,0,0,0,0,0,0,Kenneth A. Ragsdale (P),08/29-12/20,WEST 411,
2019,Fall,C,85145,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,12:00 pm-01:50 pm,19,21,-2,0,0,0,0,0,0,Matthew J. Chamberlain (P),08/29-12/20,WEST 326,
2019,Fall,C,81309,ARTS,2020,1,T,4,MUSIC AND TECHNOLOGY 1,MR,10:00 am-11:50 am,10,9,1,1,0,1,19,19,0,Robert Kyle Hamilton (P),08/29-12/20,WEST 118,
2019,Fall,C,85258,ARTS,2020,2,T,4,MUSIC AND TECHNOLOGY 1,MR,10:00 am-11:50 am,9,10,-1,0,0,0,19,19,0,Robert Kyle Hamilton (P),08/29-12/20,WEST 118,
2019,Fall,NR,82041,ARTS,2040,1,T,4,INTERMEDIATE DIGITAL IMAGING,TR,06:00 pm-07:50 pm,16,9,7,0,0,0,0,0,0,Kathleen Ruiz (P),08/29-12/20,WEST 214,
2019,Fall,NR,84768,ARTS,2070,1,T,4,GRAPHIC STORYTELLING,TF,08:00 am-09:50 am,19,14,5,0,0,0,0,0,0,Nathan Scott Meltz (P),08/29-12/20,WEST 214,
2019,Fall,NR,84791,ARTS,2200,1,T,4,INTERMEDIATE DRAWING,TF,10:00 am-11:50 am,19,15,4,0,0,0,0,0,0,Kenneth A. Ragsdale (P),08/29-12/20,WEST 411,
2019,Fall,NR,83891,ARTS,2210,1,T,4,SCULPTURE I,MR,04:00 pm-05:50 pm,16,13,3,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/29-12/20,SAGE 1211,
2019,Fall,NR,85259,ARTS,2220,1,T,4,FUNDAMENTALS OF 2D DESIGN,TF,02:00 pm-03:50 pm,19,12,7,0,0,0,0,0,0,Nathan Scott Meltz (P),08/29-12/20,WEST 214,
2019,Fall,C,84769,ARTS,2230,1,T,4,3D DIGITAL MODELING,TF,02:00 pm-03:50 pm,19,19,0,0,0,0,0,0,0,Rebekah Gamin Arcovitch (P),08/29-12/20,SAGE 2411,
