Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2021,Summer,C,16622,ARTS,2540,1,T,4,THE MULTIMEDIA CENTURY,MR,08:00 am-10:05 am,19,22,-3,3,1,2,0,0,0,Kathleen A. Galloway (P),05/24-08/20,WEST 326,Communication Intensive and Hybrid:Online/In-Person Course
2021,Summer,C,16531,ARTS,2700,1,T,4,SOUND RECORDING & PROD I,MTRF,10:30 am-12:35 pm,12,12,0,0,0,0,0,0,0,Ross A. Rice (P),05/24-07/02,DARRIN 174,Hybrid:Online/In-Person Course
2021,Summer,NR,16583,ARTS,2750,1,T,1,PRIVATE MUSIC LESSONS: VIOLIN,,TBA,9,3,6,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",05/24-08/20,WEST 326,In-Person Course
2021,Summer,NR,16584,ARTS,2750,2,T,1,PRIVATE MUSIC LESSONS: VIOLA,,TBA,9,0,9,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",05/24-08/20,WEST 326,In-Person Course
2021,Summer,NR,16585,ARTS,2750,3,T,1,PRIVATE MUSIC LESSONS: FLUTE,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16586,ARTS,2750,4,T,1,PRIVATE MUSIC LESSONS: OBOE,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16587,ARTS,2750,5,T,1,PRIVATE MUSIC LESSONS:CLARINET,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16588,ARTS,2750,6,T,1,PRIVATE MUSIC LESSONS: SAX,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16589,ARTS,2750,7,T,1,PRIVATE MUSIC LESSONS: HARP,,TBA,9,0,9,0,0,0,0,0,0,"Karlinda D. Caldicott (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16590,ARTS,2750,8,T,1,PRIVATEMUSICLESSONS:PERCUSSION,,TBA,9,1,8,0,0,0,0,0,0,"Graeme S. Francis (P), Christopher James Fisher-Lochhead",05/24-08/20,TBA,In-Person Course
2021,Summer,NR,16591,ARTS,2750,9,T,1,PRIVATE MUSIC LESSONS: VOICE,,TBA,9,1,8,0,0,0,0,0,0,"Elissa Marie Harrigan (P), Christopher James Fisher-Lochhead",05/24-08/20,TBA,In-Person Course
2021,Summer,NR,16733,ARTS,2750,10,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,3,7,0,0,0,0,0,0,"Akina Yura (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16734,ARTS,2750,11,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,1,9,0,0,0,0,0,0,"Jingwen Tu (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16735,ARTS,2750,12,T,1,PRIVATE MUSIC LESSONS: GUITAR,,TBA,10,4,6,0,0,0,0,0,0,"Paul J. Quigley (P), Christopher James Fisher-Lochhead",05/24-08/20,TBA,In-Person Course
2021,Summer,NR,16736,ARTS,2750,13,T,1,PRIVATE MUSIC LESSON: TROMBONE,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16737,ARTS,2750,14,T,1,PRIVATE MUSIC LESSONS: TUBA,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16738,ARTS,2750,15,T,1,MUSIC LESSONS: EUPHONIUM,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",05/24-08/20,ONLINE,Online Course
2021,Summer,NR,16739,ARTS,2750,16,T,1,MUSIC LESSONS: JAZZ IMPROV,,TBA,10,0,10,0,0,0,0,0,0,"Matthew P. Steckler (P), Christopher James Fisher-Lochhead",05/24-08/20,TBA,In-Person Course
2021,Summer,NR,16740,ARTS,2750,17,T,1,MUSIC LESSONS: JAZZ SAX,,TBA,10,0,10,0,0,0,0,0,0,"Matthew P. Steckler (P), Christopher James Fisher-Lochhead",05/24-08/20,TBA,In-Person Course
