Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2023,Spring,NR,80545,ARTS,1020,1,T,4,DIGITAL IMAGING,TF,10:00 am-11:50 am,10,0,10,0,0,0,0,0,0,Nathan Scott Meltz (P),01/09-05/05,TBA,
2023,Spring,NR,80544,ARTS,1020,2,T,4,DIGITAL IMAGING,TF,10:00 am-11:50 am,9,0,9,0,0,0,0,0,0,Nathan Scott Meltz (P),01/09-05/05,TBA,
2023,Spring,NR,79027,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,19,0,19,0,0,0,0,0,0,Elizabeth Press (P),01/09-05/05,WEST 211,
2023,Spring,NR,79449,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,19,0,19,0,0,0,0,0,0,Elizabeth Press (P),01/09-05/05,WEST 211,
2023,Spring,NR,79042,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,50,0,50,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/09-05/05,GREENE 120,Communication Intensive
2023,Spring,NR,80526,ARTS,1050,2,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,10,0,10,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/09-05/05,TBA,Communication Intensive
2023,Spring,NR,78306,ARTS,1200,1,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,0,19,19,0,19,0,0,0,Kenneth A. Ragsdale (P),01/09-05/05,WEST 411,
2023,Spring,NR,78199,ARTS,1200,2,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,0,19,19,0,19,0,0,0,Jennifer Mae Kemp (P),01/09-05/05,WEST 411,
2023,Spring,NR,80525,ARTS,1200,3,T,4,BASIC DRAWING,TF,02:00 pm-03:50 pm,19,0,19,0,0,0,0,0,0,Jennifer Mae Kemp (P),01/09-05/05,WEST 411,
2023,Spring,NR,79996,ARTS,1380,2,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,08:00 am-09:50 am,19,0,19,0,0,0,0,0,0,Matthew William Goodheart (P),01/09-05/05,WEST 326,
2023,Spring,NR,80527,ARTS,2060,1,T,4,2D EXPERIMENTAL ANIMATION,TF,08:00 am-09:50 am,19,0,19,0,0,0,0,0,0,Nathan Scott Meltz (P),01/09-05/05,TBA,
2023,Spring,NR,80528,ARTS,2090,1,T,4,RADICAL GRAPHICS SCREENPRNT,TF,02:00 pm-03:50 pm,19,0,19,0,0,0,0,0,0,Nathan Scott Meltz (P),01/09-05/05,TBA,
2023,Spring,NR,79867,ARTS,2180,1,T,4,DEEP LISTENING,MR,10:00 am-11:50 am,16,0,16,0,0,0,0,0,0,Stephanie D Loveless (P),01/09-05/05,WEST 326,Communication Intensive
2023,Spring,NR,80120,ARTS,2180,2,T,4,DEEP LISTENING,MR,10:00 am-11:50 am,3,0,3,0,0,0,0,0,0,Stephanie D Loveless (P),01/09-05/05,WEST 326,Communication Intensive
2023,Spring,NR,80529,ARTS,2180,3,T,4,DEEP LISTENING,MR,12:00 pm-01:50 pm,16,0,16,0,0,0,0,0,0,Stephanie D Loveless (P),01/09-05/05,TBA,Communication Intensive
