Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2023,Spring,SR,79333,GSAS,1040,1,T,4,ART FOR INTERACTIVE MEDIA,TF,12:00 pm-01:50 pm,19,2,17,5,0,5,0,0,0,TBA,01/09-05/05,WEST 214,
2023,Spring,SR,79828,GSAS,1040,2,T,4,ART FOR INTERACTIVE MEDIA,TF,02:00 pm-03:50 pm,19,3,16,5,0,5,0,0,0,TBA,01/09-05/05,WEST 214,
2023,Spring,SR,79381,GSAS,1600,1,T,4,HISTORY AND CULTURE OF GAMES,MR,02:00 pm-03:50 pm,22,1,21,0,0,0,0,0,0,Ralph G Noble (P),01/09-05/05,SAGE 4711,Communication Intensive and HASS Inquiry
2023,Spring,SR,79383,GSAS,2520,1,T,4,INTRO TO GAME STORYTELLING,TF,02:00 pm-03:50 pm,22,0,22,0,0,0,0,0,0,TBA,01/09-05/05,SAGE 4711,Communication Intensive
2023,Spring,SR,80154,GSAS,2520,2,T,4,INTRO TO GAME STORYTELLING,MR,02:00 pm-03:50 pm,19,1,18,0,0,0,0,0,0,Nicholas J. Mizer (P),01/09-05/05,WEST 112,Communication Intensive
2023,Spring,SR,79382,GSAS,2540,1,T,4,INTRO TO GAME PROGRAMMING,MR,10:00 am-11:50 am,22,0,22,0,0,0,0,0,0,Eric Louis Ameres (P),01/09-05/05,TBA,
2023,Spring,SR,79663,GSAS,2540,2,T,4,INTRO TO GAME PROGRAMMING,MR,02:00 pm-03:50 pm,22,12,10,0,0,0,0,0,0,Eric Louis Ameres (P),01/09-05/05,TBA,
2023,Spring,SR,80655,GSAS,4250,1,T,4,WRITING FOR GAMES II,MR,12:00 pm-01:50 pm,19,2,17,0,0,0,0,0,0,Maurice W Suckling (P),01/09-05/05,TBA,
2023,Spring,SR,80158,GSAS,4260,1,T,4,GAME NARRATIVE DESIGN,TF,10:00 am-11:50 am,19,6,13,0,0,0,0,0,0,Nicholas J. Mizer (P),01/09-05/05,WEST 112,
2023,Spring,SR,79384,GSAS,4510,1,T,4,EXPERIMENTAL GAME DESIGN,W,02:00 pm-05:50 pm,26,9,17,0,0,0,0,0,0,Robert F. Nideffer (P),01/09-05/05,SAGE 2411,
2023,Spring,SR,79547,GSAS,4540,1,T,4,GAME DEVELOPMENT II,W,01:00 pm-04:50 pm,49,7,42,0,0,0,0,0,0,Benjamin Chia-Ming Chang (P),01/09-05/05,CARNEG 113,
2023,Spring,SR,80701,GSAS,4960,1,T,4,PSYCHOLOGY OF GAMES,MR,10:00 am-11:50 am,19,0,19,0,0,0,19,16,3,Ralph G Noble (P),01/09-05/05,TBA,
2023,Spring,SR,80384,GSAS,4961,1,T,4,TOPICS IN GAME RESEARCH,MR,10:00 am-11:50 am,19,0,19,0,0,0,0,0,0,Robert F. Nideffer (P),01/09-05/05,TBA,
2023,Spring,SR,80155,GSAS,4990,1,T,4,GSAS CAPSTONE,MR,10:00 am-11:50 am,19,14,5,0,0,0,0,0,0,Maurice W Suckling (P),01/09-05/05,TBA,
2023,Spring,SR,80156,GSAS,6200,1,T,3,TOPICS IN GAME RESEARCH,MR,10:00 am-11:50 am,19,6,13,0,0,0,0,0,0,Robert F. Nideffer (P),01/09-05/05,TBA,
2023,Spring,SR,80157,GSAS,6300,1,T,3,RES MTHDS CRITICAL GAME DSGN,T,04:00 pm-06:50 pm,19,9,10,0,0,0,0,0,0,Nicholas J. Mizer (P),01/09-05/05,SAGE 2510,
2023,Spring,C,80745,GSAS,6500,2,T,3,ADVANCED GAME DESIGN,,TBA,0,0,0,0,0,0,0,0,0,Mei Si (P),01/09-05/05,TBA,
2023,Spring,SR,80363,GSAS,6980,1,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,0,10,0,0,0,0,0,0,Eric Louis Ameres (P),01/09-05/05,TBA,
2023,Spring,SR,80364,GSAS,6980,2,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,0,10,0,0,0,0,0,0,Nicholas J. Mizer (P),01/09-05/05,TBA,
2023,Spring,SR,80365,GSAS,6980,3,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,0,10,0,0,0,0,0,0,Robert F. Nideffer (P),01/09-05/05,TBA,
2023,Spring,SR,80366,GSAS,6980,4,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,0,10,0,0,0,0,0,0,Kathleen Ruiz (P),01/09-05/05,TBA,
2023,Spring,SR,80367,GSAS,6980,5,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,1,9,0,0,0,0,0,0,Silvia Ruzanka (P),01/09-05/05,TBA,
2023,Spring,SR,80368,GSAS,6980,6,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,1,9,0,0,0,0,0,0,Mei Si (P),01/09-05/05,TBA,
2023,Spring,SR,80637,GSAS,6980,7,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,1,9,0,0,0,0,0,0,Benjamin Chia-Ming Chang (P),01/09-05/05,TBA,
2023,Spring,SR,80638,GSAS,6980,8,T,1.000-9.000,MASTER'S PROJECT,,TBA,10,1,9,0,0,0,0,0,0,Kathleen A. Galloway (P),01/09-05/05,TBA,
